States,States Code,Year,GDP,Unemployment,Population,Poverty
West Virginia,WV,2014,74111.3,6.5,"1,822",20.6
Wisconsin,WI,2014,309425.8,5.3,"5,742",10.9
Wyoming,WY,2014,39287.2,4.3,572,9.7
Alabama,AL,2015,208950.3,6.1,"4,820",16.3
Alaska,AK,2015,53681.1,6.3,703,9.2
Arizona,AZ,2015,308582.8,6.1,"6,728",17.2
Arkansas,AR,2015,121532.5,5.0,"2,951",16.1
California,CA,2015,2545979.5,6.3,"39,080",13.9
Colorado,CO,2015,330526.1,3.7,"5,420",9.9
Connecticut,CT,2015,268869.8,5.6,"3,572",9.1
Delaware,DE,2015,76211.2,4.8,958,11.1
District of Columbia,DC,2015,129110.2,6.9,676,16.6
Florida,FL,2015,945929,5.5,"20,070",16.2
Georgia,GA,2015,540108.5,6.1,"10,100",18.1
Hawaii,HI,2015,83857.6,3.4,"1,382",10.9
Idaho,ID,2015,67790.5,3.9,"1,657",12.3
Illinois,IL,2015,825424.9,6.0,"12,680",10.9
Indiana,IN,2015,341205.2,4.8,"6,502",13.5
Iowa,IA,2015,185989.2,3.7,"3,100",10.4
Kansas,KS,2015,158602.6,4.2,"2,849",14.2
Kentucky,KY,2015,199487.1,5.2,"4,365",19.5
Louisiana,LA,2015,239584.1,6.3,"4,599",18.6
Maine,ME,2015,60563,4.4,"1,340",12.3
Maryland,MD,2015,378745.9,5.0,"5,892",9.6
Massachusetts,MA,2015,514398.7,4.8,"6,777",11.5
Michigan,MI,2015,490618.7,5.4,"9,852",12.8
Minnesota,MN,2015,345456.2,3.8,"5,458",7.8
Mississippi,MS,2015,109401.7,6.5,"2,947",19.1
Missouri,MO,2015,308009.9,5.1,"5,946",9.8
Montana,MT,2015,47765.6,4.3,"1,018",11.9
Nebraska,NE,2015,119640.8,3.0,"1,858",10.3
Nevada,NV,2015,151055.9,6.8,"2,864",13.0
New Hampshire,NH,2015,79319.3,3.4,"1,293",7.3
New Jersey,NJ,2015,581414.9,5.7,"8,936",11.2
New Mexico,NM,2015,93503.9,6.6,"2,036",19.7
New York,NY,2015,1565835.2,5.2,"19,650",14.2
North Carolina,NC,2015,525229.1,5.7,"9,887",15.3
North Dakota,ND,2015,58694.5,2.8,763,10.7
Ohio,OH,2015,633274.8,5.0,"11,440",13.6
Oklahoma,OK,2015,193792.6,4.3,"3,887",14.2
Oregon,OR,2015,205581.8,5.5,"4,029",11.9
Pennsylvania,PA,2015,734145.1,5.4,"12,560",12.3
Rhode Island,RI,2015,58387.9,6.0,"1,044",11.8
South Carolina,SC,2015,213212.4,5.9,"4,790",14.3
South Dakota,SD,2015,50860.8,3.0,848,13.9
Tennessee,TN,2015,335461.1,5.6,"6,605",14.7
Texas,TX,2015,1634127.1,4.5,"27,400",14.7
Utah,UT,2015,155431.5,3.5,"3,004",9.3
Vermont,VT,2015,32042.9,3.5,609,10.7
Virginia,VA,2015,498943.6,4.4,"8,216",10.9
Washington,WA,2015,476715.4,5.4,"7,193",11.4
West Virginia,WV,2015,74261.4,6.6,"1,795",14.5
Wisconsin,WI,2015,315687.8,4.4,"5,736",11.4
Wyoming,WY,2015,40063.9,4.2,574,9.8
Alabama,AL,2016,212862.8,5.9,"4,821",16.2
Alaska,AK,2016,53463.9,6.6,708,12.6
Arizona,AZ,2016,319008.4,5.5,"6,878",16.1
Arkansas,AR,2016,123034.9,4.0,"2,941",16.0
California,CA,2016,2623711.7,5.5,"39,140",13.9
Colorado,CO,2016,337685.2,3.1,"5,502",8.5
Connecticut,CT,2016,268196.2,4.8,"3,567",9.8
